Positive if Greater Than or Equal To;Sensitivity;1 - Specificity;Specificity;Youden's J;EMGO;Sum of Squares;Farrar
0,4975;0,357716325;0,177330896;0,822669104;0,180385429;0,819614571;0,443974566;0,464952779
0,4995;0,356824264;0,177330896;0,822669104;0,179493368;0,820506632;0,445121274;0,46584484
0,501;0,354148082;0,175502742;0,824497258;0,17864534;0,82135466;0,447925912;0,470349176
0,5025;0,352363961;0,173674589;0,826325411;0,178689372;0,821310628;0,449595302;0,473961451
0,503;0,3514719;0,173674589;0,826325411;0,177797311;0,822202689;0,450751559;0,474853511
0,511;0,349687779;0,171846435;0,828153565;0,177841344;0,822158656;0,452437182;0,478465786
0,519;0,346119536;0,171846435;0,828153565;0,174273101;0,825726899;0,457090858;0,482034029
0,52;0,345227475;0,171846435;0,828153565;0,17338104;0,82661896;0,458258256;0,482926089
0,5255;0,344335415;0,170018282;0,829981718;0,174317133;0,825682867;0,458802264;0,485646304
0,531;0,341659233;0,168190128;0,831809872;0,173469105;0,826530895;0,461700485;0,490150639
0,532;0,329170384;0,13345521;0,86654479;0,195715173;0,804284827;0,467822667;0,537374406
0,535;0,32381802;0,122486289;0,877513711;0,201331731;0,798668269;0,472224962;0,553695692
0,5395;0,32381802;0,120658135;0,879341865;0,203159884;0,796840116;0,471780456;0,555523845
0,5465;0,32381802;0,118829982;0,881170018;0,204988038;0,795011962;0,471342635;0,557351999
0,5545;0,322925959;0,118829982;0,881170018;0,204095977;0,795904023;0,472549822;0,558244059
0,561;0,322033898;0,118829982;0,881170018;0,203203917;0,796796083;0,4737586;0,55913612
0,5655;0,322033898;0,117001828;0,882998172;0,20503207;0,79496793;0,473327463;0,560964274
0,5665;0,321141838;0,117001828;0,882998172;0,204140009;0,795859991;0,474537832;0,561856334
0,5675;0,319357716;0,117001828;0,882998172;0,202355888;0,797644112;0,476963346;0,563640456
0,568;0,315789474;0,113345521;0,886654479;0,202443953;0,797556047;0,480991251;0,570865005
0,5695;0,31132917;0,109689214;0,890310786;0,201639956;0,798360044;0,486299235;0,578981616
0,5775;0,309545049;0,109689214;0,890310786;0,199855835;0,800144165;0,488759763;0,580765737
0,586;0,308652988;0,109689214;0,890310786;0,198963775;0,801036225;0,489992414;0,581657798
